Database,Keyword,Tags,Seed keyword,Page,Topic,Page type,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content reference 1,Content reference 2,Content reference 3,Content reference 4,Content reference 5,Content reference 6,Content reference 7,Content reference 8,Content reference 9,Content reference 10,Competitor on TOP 10 #1,Competitor on TOP 10 #2,Competitor on TOP 10 #3,Competitor on TOP 10 #4,Competitor on TOP 10 #5,Competitor on TOP 10 #6,Competitor on TOP 10 #7,Competitor on TOP 10 #8,Competitor on TOP 10 #9,Competitor on TOP 10 #10
au,decking inner west,2,carpenter gladesville,(non-clustered),2,2,30,0,0,0,0,2,2,"0.50,0.50,0.50,0.50,0.50,1.00,1.00,1.00,0.75,0.75,1.00,0.75",0,,,,,,,,,,,,,,,,,,,,
au,carpenter drummoyne,2,carpenter gladesville,(non-clustered),2,2,20,0,0,0,0,2,2,"0.11,0.17,0.17,0.17,0.17,0.11,0.11,0.00,0.00,0.11,0.00,0.11",0,,,,,,,,,,,,,,,,,,,,
au,carpenter willoughby,2,carpenter gladesville,(non-clustered),2,2,20,0,0,0.57,0,2,2,"0.22,0.22,0.22,0.22,0.22,0.22,0.00,0.22,0.22,0.22,0.22,0.22",0,,,,,,,,,,,,,,,,,,,,
au,carpentry north shore,2,carpenter gladesville,(non-clustered),2,2,20,0,0,0,0,2,2,"0.11,0.11,0.11,0.00,0.11,0.11,0.11,0.00,0.11,0.11,0.00,0.11",0,,,,,,,,,,,,,,,,,,,,
au,pergola builder inner west,2,carpenter gladesville,(non-clustered),2,2,20,0,0,0,0,2,2,"0.33,0.66,0.66,0.66,1.00",0,,,,,,,,,,,,,,,,,,,,
au,carpenter balmain,2,carpenter gladesville,(non-clustered),2,2,10,0,2.64,0.71,0,2,2,"0.28,0.57,0.28,0.42,0.42,0.14,0.14,0.00,0.00,0.00,0.00,0.00",0,,,,,,,,,,,,,,,,,,,,
au,carpenter hunters hill,2,carpenter gladesville,(non-clustered),2,2,10,0,0,0,0,2,2,"0.66,1.00,0.66,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,,,,,,,,,,,,,,,,,,,,
au,carpenter rozelle,2,carpenter gladesville,(non-clustered),2,2,10,0,0,0,0,2,2,"1.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00",0,,,,,,,,,,,,,,,,,,,,
au,carpentry inner west,2,carpenter gladesville,(non-clustered),2,2,10,0,2.59,0.66,0,2,2,"0.00,0.00,0.00,0.33,0.00,1.00,0.33,0.33,0.33,0.33,0.33,0.66",0,,,,,,,,,,,,,,,,,,,,
au,carpenter five dock,2,carpenter gladesville,(non-clustered),2,2,0,0,0,0,0,2,2,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,,,,,,,,,,,,,,,,,,,,
au,carpenter north shore,2,carpenter gladesville,(non-clustered),2,2,0,0,3.71,0.99,0,2,2,"0.00,0.33,0.00,0.00,0.00,0.33,0.33,0.66,0.00,0.00,0.00,0.00",0,,,,,,,,,,,,,,,,,,,,
au,carpenters inner west,2,carpenter gladesville,(non-clustered),2,2,0,0,2.59,0.66,0,2,2,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00",0,,,,,,,,,,,,,,,,,,,,
au,deck builder north shore,2,carpenter gladesville,(non-clustered),2,2,0,0,0,0,0,2,2,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00",0,,,,,,,,,,,,,,,,,,,,
au,carpentry services gladesville,2,carpenter gladesville,(non-clustered),2,2,0,0,0,0,0,2,2,2,0,,,,,,,,,,,,,,,,,,,,
au,deck builder gladesville,2,carpenter gladesville,(non-clustered),2,2,0,0,0,0,0,2,2,2,0,,,,,,,,,,,,,,,,,,,,
au,pergola builder gladesville,2,carpenter gladesville,(non-clustered),2,2,0,0,0,0,0,2,2,2,0,,,,,,,,,,,,,,,,,,,,
au,carpenter parramatta,2,timber framing hills district,(non-clustered),2,2,70,5,3.26,0.81,0,Commercial,"Local Pack, Video, Image, Related Searches","0.45,0.45,0.27,0.27,0.27,0.63,1.00,1.00,0.81,1.00,1.00,1.00",75,,,,,,,,,,,,,,,,,,,,
au,carpenter epping,2,timber framing hills district,(non-clustered),2,2,40,17,3.35,0.82,491000,Commercial,"Video, Image, Local Pack","0.36,0.27,0.18,0.36,0.27,0.18,0.36,1.00,0.45,0.45,0.36,0.45",75,,,,,,,,,,,,,,,,,,,,
au,carpenter baulkham hills,2,timber framing hills district,(non-clustered),2,2,40,9,4.79,0.84,41000,Commercial,"Image, Related Searches, AI Overview, Local Pack, Site Links, Video","0.09,0.09,0.06,0.09,0.09,0.21,0.15,0.12,0.15,0.21,0.21,0.15",20,,,,,,,,,,,,,,,,,,,,
au,deck builder castle hill,2,timber framing hills district,(non-clustered),2,2,40,0,0,0,0,2,2,"0.00,0.00,0.00,0.02,0.00,0.08,0.10,0.08,0.10,0.10,0.14,0.18",0,,,,,,,,,,,,,,,,,,,,
au,deck builder parramatta,2,timber framing hills district,(non-clustered),2,2,40,0,2,0.99,0,2,2,"0.18,0.18,0.18,0.18,0.00,0.18,0.36,0.36,0.45,0.36,0.63,1.00",0,,,,,,,,,,,,,,,,,,,,
au,carpenter concord,2,timber framing hills district,(non-clustered),2,2,30,0,1.17,0.99,0,2,2,"0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.27,0.45,0.36,0.36,0.36",0,,,,,,,,,,,,,,,,,,,,
au,carpenter ashfield,2,timber framing hills district,(non-clustered),2,2,20,0,0,0,0,2,2,"0.17,0.23,0.17,0.17,0.17,0.11,0.11,0.11,0.11,0.11,0.00,0.11",0,,,,,,,,,,,,,,,,,,,,
au,carpenter castle hill,2,timber framing hills district,(non-clustered),2,2,20,0,2.68,0.99,0,2,2,"0.18,0.18,0.18,0.18,0.18,0.63,0.45,0.18,0.00,0.00,0.00,0.18",0,,,,,,,,,,,,,,,,,,,,
au,carpenter burwood,2,timber framing hills district,(non-clustered),2,2,10,0,0,0,0,2,2,"0.75,1.00,0.50,0.75,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,,,,,,,,,,,,,,,,,,,,
au,carpenter carlingford,2,timber framing hills district,(non-clustered),2,2,10,0,0,0,0,2,2,"0.75,1.00,0.50,0.75,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,,,,,,,,,,,,,,,,,,,,
au,carpenter strathfield,2,timber framing hills district,(non-clustered),2,2,10,0,0,0,0,2,2,"0.66,1.00,0.66,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,,,,,,,,,,,,,,,,,,,,
au,carpenter ermington,2,timber framing hills district,(non-clustered),2,2,0,0,0,0,0,2,2,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,,,,,,,,,,,,,,,,,,,,
au,carpenters parramatta,2,timber framing hills district,(non-clustered),2,2,0,0,3,0.66,0,2,2,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.00,0.00,0.00,0.00",0,,,,,,,,,,,,,,,,,,,,
au,carpenter putney,2,timber framing hills district,(non-clustered),2,2,0,0,0,0,0,2,2,"0.00,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.00,0.00,0.00",0,,,,,,,,,,,,,,,,,,,,
au,carpentry parramatta,2,timber framing hills district,(non-clustered),2,2,0,0,3,0.66,0,2,2,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00",0,,,,,,,,,,,,,,,,,,,,
au,carpentry services burwood,2,timber framing hills district,(non-clustered),2,2,0,0,0,0,0,2,2,0.00,0,,,,,,,,,,,,,,,,,,,,
au,deck builders near me,2,decking installer sydney,(non-clustered),2,2,590,23,3.79,0.46,33200000,Transactional,"Local Pack, People Also Ask, Related Searches","0.72,0.59,0.59,0.39,0.39,0.88,1.00,0.59,0.48,0.39,0.39,0.39",90,,,,,,,,,,,,,,,,,,,,
au,pergola builders near me,2,decking installer sydney,(non-clustered),2,2,480,26,3.4,0.7,5870000,Transactional,"Local Pack, Video, People Also Ask, Related Searches","0.32,0.48,0.39,0.39,0.32,0.59,0.72,1.00,0.72,0.59,0.48,0.59",90,,,,,,,,,,,,,,,,,,,,
au,composite decking near me,2,decking installer sydney,(non-clustered),2,2,390,27,1.78,0.93,15600000,Transactional,"Related Searches, Local Pack, Site Links, Video, Popular Products","0.54,0.44,0.23,1.00,0.44,0.44,0.54,0.44,0.54,0.54,0.54,0.54",20,,,,,,,,,,,,,,,,,,,,
au,pergola builder near me,2,decking installer sydney,(non-clustered),2,2,320,33,3.3,0.77,5440000,Transactional,"Local Pack, Image, Related Searches","0.10,0.07,0.10,0.12,0.15,1.00,0.54,0.54,0.54,0.67,0.54,0.67",90,,,,,,,,,,,,,,,,,,,,
au,decking near me,2,decking installer sydney,(non-clustered),2,2,320,30,3.57,0.66,27500000,Transactional,"Site Links, Video, People Also Ask, Related Searches, Local Pack","0.29,0.29,0.29,1.00,0.29,0.36,0.36,0.66,0.66,0.54,0.44,0.44",20,,,,,,,,,,,,,,,,,,,,
au,deck builder near me,2,decking installer sydney,(non-clustered),2,2,260,28,3.79,0.46,52500000,Transactional,"People Also Ask, Related Searches, Local Pack, Video","0.19,0.10,0.12,0.19,0.12,1.00,0.67,0.29,0.44,0.23,0.36,0.23",90,,,,,,,,,,,,,,,,,,,,
au,patio builder near me,2,decking installer sydney,(non-clustered),2,2,260,49,3.18,0.76,131,Transactional,"Local Pack, Video, People Also Ask, Related Searches","0.05,0.08,0.01,0.08,0.15,1.00,0.66,0.66,0.81,0.81,0.66,0.81",90,,,,,,,,,,,,,,,,,,,,
au,pergola near me,2,decking installer sydney,(non-clustered),2,2,260,41,3.39,0.99,210,Transactional,"Local Pack, Site Links, Video, People Also Ask, Related Searches","0.23,0.17,0.23,0.17,0.82,1.00,1.00,1.00,0.82,1.00,0.82,1.00",20,,,,,,,,,,,,,,,,,,,,
au,patio builders sydney,2,decking installer sydney,(non-clustered),2,2,140,27,2.53,0.37,585000,Commercial,"Local Pack, Video, Image, People Also Ask, Related Searches","0.03,0.11,0.18,0.05,0.18,0.44,0.44,0.44,0.44,0.54,0.54,0.54",90,,,,,,,,,,,,,,,,,,,,
au,pergola repairs near me,2,decking installer sydney,(non-clustered),2,2,110,5,2.67,0.75,124,Transactional,"Related Searches, Local Pack, Site Links, People Also Ask","0.18,0.23,0.15,0.18,0.23,0.15,0.11,0.15,0.23,0.23,0.11,0.18",20,,,,,,,,,,,,,,,,,,,,
au,spotted gum decking sydney,2,decking installer sydney,(non-clustered),2,2,70,6,1.98,0.91,157000,Commercial,"Local Pack, Site Links, Video, Related Searches","0.14,0.14,0.14,0.14,0.14,0.50,1.00,1.00,1.00,1.00,1.00,0.78",20,,,,,,,,,,,,,,,,,,,,
au,alfresco builders sydney,2,decking installer sydney,(non-clustered),2,2,50,0,4.18,0.33,0,2,2,"0.22,0.22,0.22,0.22,0.22,0.77,0.77,0.77,0.77,1.00,1.00,1.00",0,,,,,,,,,,,,,,,,,,,,
au,decking installers sydney,2,decking installer sydney,(non-clustered),2,2,50,0,1.28,0.94,112,Commercial,"Local Pack, Video, Related Searches","0.14,0.14,0.14,0.14,0.14,0.50,0.50,0.50,0.64,0.64,0.64,0.64",0,,,,,,,,,,,,,,,,,,,,
au,pergola installers sydney,2,decking installer sydney,(non-clustered),2,2,50,33,6.31,1,0,Commercial,"Local Pack, Video, Related Searches","0.27,0.27,0.18,0.18,0.18,0.63,1.00,0.45,0.45,1.00,1.00,1.00",90,,,,,,,,,,,,,,,,,,,,
au,timber decking near me,2,decking installer sydney,(non-clustered),2,2,50,28,1.83,0.98,205,Transactional,"People Also Ask, Related Searches, Local Pack, Site Links, Video, Image","0.07,0.07,0.11,0.07,0.34,0.34,0.19,0.42,0.26,0.19,0.19,0.26",20,,,,,,,,,,,,,,,,,,,,
au,blackbutt decking sydney,2,decking installer sydney,(non-clustered),2,2,40,0,1.1,0.99,0,2,2,"0.09,0.09,0.09,0.09,0.09,0.33,0.23,0.19,0.23,0.23,0.19,0.14",0,,,,,,,,,,,,,,,,,,,,
au,privacy screen sydney,2,decking installer sydney,(non-clustered),2,2,40,0,1.39,0.99,0,2,2,"0.11,0.11,0.11,0.11,0.11,0.44,0.55,1.00,0.55,0.55,0.55,0.77",0,,,,,,,,,,,,,,,,,,,,
au,wall removal near me,2,remove wall sydney,(non-clustered),2,2,30,0,3.59,0.66,0,2,2,"0.18,0.18,0.18,1.00,0.18,0.27,0.36,0.18,0.18,0.18,0.18,0.18",0,,,,,,,,,,,,,,,,,,,,
au,kitchen wall removal,2,remove wall sydney,(non-clustered),2,2,20,0,1.88,0.61,0,2,2,"0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09",0,,,,,,,,,,,,,,,,,,,,
au,load bearing wall removal near me,2,remove wall sydney,(non-clustered),2,2,20,0,5.69,0.99,0,2,2,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66",0,,,,,,,,,,,,,,,,,,,,
au,brick wall removal sydney,2,remove wall sydney,(non-clustered),2,2,0,0,0,0,0,2,2,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,,,,,,,,,,,,,,,,,,,,
au,door installers near me,2,carpenter for fix out sydney,(non-clustered),2,2,390,29,1.78,0.88,33400000,Transactional,"Related Searches, Local Pack, Video, People Also Ask","0.23,0.19,0.19,0.15,0.15,1.00,0.81,0.81,0.67,0.67,0.54,0.67",90,,,,,,,,,,,,,,,,,,,,
au,door installer near me,2,carpenter for fix out sydney,(non-clustered),2,2,210,22,2.02,0.73,295000000,Transactional,"Related Searches, Local Pack, Video, Image, People Also Ask","0.22,0.06,0.54,0.14,0.08,0.81,0.81,1.00,0.43,0.54,0.81,0.54",90,,,,,,,,,,,,,,,,,,,,
au,door installers sydney,2,carpenter for fix out sydney,(non-clustered),2,2,70,17,2.22,0.79,108,Commercial,"Local Pack, Video, People Also Ask, Related Searches","0.35,0.64,0.50,0.50,0.50,0.78,0.64,1.00,0.14,0.14,0.28,0.28",90,,,,,,,,,,,,,,,,,,,,
au,trim carpenter near me,2,carpenter for fix out sydney,(non-clustered),2,2,40,0,0,0.33,0,2,2,"0.18,0.18,0.18,0.18,0.18,0.27,0.18,1.00,0.36,0.36,0.36,0.36",0,,,,,,,,,,,,,,,,,,,,
au,architrave installer near me,2,carpenter for fix out sydney,(non-clustered),2,2,20,0,0,0,0,2,2,"1.00,0.05,0.00,0.00,0.00,0.00,0.00",0,,,,,,,,,,,,,,,,,,,,
au,barn door installation sydney,2,carpenter for fix out sydney,(non-clustered),2,2,20,0,1.2,1,0,2,2,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66",0,,,,,,,,,,,,,,,,,,,,
au,finish carpenter near me,2,carpenter for fix out sydney,(non-clustered),2,2,20,0,0,0.31,0,2,2,"1.00,0.40,0.40,0.00,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40",0,,,,,,,,,,,,,,,,,,,,
au,finish carpentry sydney,2,carpenter for fix out sydney,(non-clustered),2,2,20,0,0,0.33,0,2,2,"0.00,0.00,0.25,0.50,0.00,0.75,1.00,1.00,0.75,1.00,1.00,1.00",0,,,,,,,,,,,,,,,,,,,,
au,interior carpenter near me,2,carpenter for fix out sydney,(non-clustered),2,2,20,0,0,0.99,0,2,2,"0.22,0.22,0.00,0.22,0.22,0.22,0.22,0.22,0.22,0.00,0.22,0.22",0,,,,,,,,,,,,,,,,,,,,
au,skirting board installer near me,2,carpenter for fix out sydney,(non-clustered),2,2,20,0,0,0,0,2,2,"1.00,0.07,0.00,0.00,0.00,0.00,0.00",0,,,,,,,,,,,,,,,,,,,,
au,vj panelling sydney,2,carpenter for fix out sydney,(non-clustered),2,2,20,0,0,0,0,2,2,"0.00,0.00,0.00,0.00,0.00,0.75,0.75,1.00,0.75,1.00,0.75,0.50",0,,,,,,,,,,,,,,,,,,,,
au,door installer sydney,2,carpenter for fix out sydney,(non-clustered),2,2,10,0,2.25,0.53,0,2,2,"0.20,0.00,0.00,0.20,0.80,0.60,0.40,0.20,0.00,0.00,0.00,0.00",0,,,,,,,,,,,,,,,,,,,,
au,timber lining boards sydney,2,carpenter for fix out sydney,(non-clustered),2,2,10,0,0,1,0,2,2,"0.66,0.66,0.00,0.66,0.00,0.00,0.00,0.00,0.66,0.00,0.66,0.00",0,,,,,,,,,,,,,,,,,,,,
au,fit out carpenter sydney,2,carpenter for fix out sydney,(non-clustered),2,2,0,0,0,0,0,2,2,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,,,,,,,,,,,,,,,,,,,,
au,custom framing sydney,2,framer sydney,(non-clustered),2,2,390,54,1.1,1,4320000,Commercial,"Site Links, Video, Image, Related Searches, Local Pack","0.66,0.44,1.00,0.23,0.23,0.54,0.54,0.44,0.54,0.81,1.00,0.54",20,,,,,,,,,,,,,,,,,,,,
au,framers sydney,2,framer sydney,(non-clustered),2,2,70,49,1.27,1,0,Commercial,"Local Pack, Video, Image, Related Searches","0.44,0.44,0.55,0.44,0.44,0.77,0.77,0.77,1.00,1.00,1.00,1.00",75,,,,,,,,,,,,,,,,,,,,
au,framer sydney,2,framer sydney,(non-clustered),2,2,50,42,1.27,1,0,Commercial,"Local Pack, Related Searches","0.35,0.14,0.00,0.50,0.35,0.35,0.07,0.28,0.35,0.35,0.28,0.28",75,,,,,,,,,,,,,,,,,,,,
au,framing services sydney,2,framer sydney,(non-clustered),2,2,30,0,1.32,0.99,0,2,2,"0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.55,0.55,0.55,0.55,0.77",0,,,,,,,,,,,,,,,,,,,,
au,roof carpenters sydney,2,framer sydney,(non-clustered),2,2,30,0,2.14,0.33,0,2,2,"0.20,0.00,0.20,0.20,0.00,0.60,0.60,0.80,0.80,0.80,1.00,1.00",0,,,,,,,,,,,,,,,,,,,,
au,carpenter northern beaches,2,carpenter sydney cbd,(non-clustered),2,2,170,10,2.35,0.57,125,Commercial,"Local Pack, Video, Image, People Also Ask, Related Searches","0.18,0.35,1.00,0.18,0.18,0.35,0.43,0.54,0.35,0.35,0.35,0.35",90,,,,,,,,,,,,,,,,,,,,
au,decking northern beaches,2,carpenter sydney cbd,(non-clustered),2,2,110,4,5.64,0.96,565000,Commercial,"Local Pack, Video, People Also Ask, Related Searches","0.09,0.09,0.09,0.09,0.14,0.80,1.00,0.80,0.80,1.00,1.00,1.00",90,,,,,,,,,,,,,,,,,,,,
au,carpenters northern beaches,2,carpenter sydney cbd,(non-clustered),2,2,90,6,3.35,0.63,0,Commercial,"Video, Image, Related Searches, Local Pack","0.23,0.11,0.41,0.17,0.29,0.82,0.82,1.00,0.82,1.00,0.64,0.41",90,,,,,,,,,,,,,,,,,,,,
au,carpenter eastern suburbs,2,carpenter sydney cbd,(non-clustered),2,2,70,4,3.21,0.53,2230000,Commercial,"Image, People Also Ask, Related Searches, Local Pack, Video","0.78,0.78,0.78,1.00,0.28,0.50,0.64,0.78,0.21,0.14,0.14,0.14",90,,,,,,,,,,,,,,,,,,,,
au,deck builder northern beaches,2,carpenter sydney cbd,(non-clustered),2,2,70,6,4.65,0.78,109,Commercial,"Related Searches, Discussions And Forums, Local Pack, Video","0.05,0.00,0.00,0.05,0.00,0.82,1.00,1.00,1.00,0.82,0.82,0.64",90,,,,,,,,,,,,,,,,,,,,
au,carpenter bondi,2,carpenter sydney cbd,(non-clustered),2,2,50,3,3.07,0.5,0,Commercial,"Related Searches, Knowledge Panel, Video, Image","0.11,0.15,0.11,0.15,0.15,0.34,0.42,0.42,0.26,0.07,0.07,0.07",70,,,,,,,,,,,,,,,,,,,,
au,carpenter randwick,2,carpenter sydney cbd,(non-clustered),2,2,40,17,3.8,0.35,86,Commercial,"Local Pack, Related Searches","0.23,0.19,0.09,0.14,0.19,0.23,0.19,0.52,0.09,0.09,0.09,0.09",75,,,,,,,,,,,,,,,,,,,,
au,pergola builder northern beaches,2,carpenter sydney cbd,(non-clustered),2,2,40,0,0,0,0,2,2,"0.00,0.00,0.00,0.00,0.00,0.77,0.77,0.77,1.00,0.55,0.77,0.77",0,,,,,,,,,,,,,,,,,,,,
au,carpenter coogee,2,carpenter sydney cbd,(non-clustered),2,2,30,0,2.79,0.71,0,2,2,"0.17,0.23,0.17,0.17,0.23,0.11,0.11,0.11,0.11,0.11,0.11,0.11",0,,,,,,,,,,,,,,,,,,,,
au,carpenter manly,2,carpenter sydney cbd,(non-clustered),2,2,30,0,3.13,0.71,0,2,2,"0.28,0.21,0.14,0.21,0.28,0.14,0.14,0.14,0.14,0.14,0.14,0.14",0,,,,,,,,,,,,,,,,,,,,
au,carpenter sydney cbd,2,carpenter sydney cbd,(non-clustered),2,2,30,0,0,0.33,0,2,2,"0.11,0.11,0.11,0.11,0.11,0.17,0.17,1.00,0.05,0.00,0.11,0.11",0,,,,,,,,,,,,,,,,,,,,
au,carpentry northern beaches,2,carpenter sydney cbd,(non-clustered),2,2,30,0,4.63,0.56,0,2,2,"0.00,1.00,0.20,0.20,0.00,0.80,0.80,0.80,0.80,0.80,0.60,0.60",0,,,,,,,,,,,,,,,,,,,,
au,decking eastern suburbs,2,carpenter sydney cbd,(non-clustered),2,2,30,0,0,0,0,2,2,"0.00,0.20,0.20,0.00,0.00,0.80,1.00,0.80,0.80,1.00,1.00,1.00",0,,,,,,,,,,,,,,,,,,,,
au,carpenter dee why,2,carpenter sydney cbd,(non-clustered),2,2,20,0,0,0.71,0,2,2,"0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09",0,,,,,,,,,,,,,,,,,,,,
au,carpenters eastern suburbs,2,carpenter sydney cbd,(non-clustered),2,2,20,0,2.49,0.66,0,2,2,"0.09,0.00,0.09,0.09,0.18,0.63,0.45,0.27,0.09,0.09,0.00,0.00",0,,,,,,,,,,,,,,,,,,,,
au,carpentry services eastern suburbs,2,carpenter sydney cbd,(non-clustered),2,2,10,0,0,0,0,2,2,"0.00,0.00,0.75,1.00,1.00,0.25,0.00,0.00,0.00",0,,,,,,,,,,,,,,,,,,,,
au,deck builder eastern suburbs,2,carpenter sydney cbd,(non-clustered),2,2,10,0,0,0,0,2,2,"0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.50,0.50,0.50,0.50",0,,,,,,,,,,,,,,,,,,,,
au,pergola builder eastern suburbs,2,carpenter sydney cbd,(non-clustered),2,2,10,0,0,0,0,2,2,"0.50,1.00,1.00,0.50,0.50",0,,,,,,,,,,,,,,,,,,,,
au,carpentry eastern suburbs,2,carpenter sydney cbd,(non-clustered),2,2,0,0,2.49,0.66,0,2,2,"0.50,0.00,0.50,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00",0,,,,,,,,,,,,,,,,,,,,
au,carpentry services northern beaches,2,carpenter sydney cbd,(non-clustered),2,2,0,0,0,0,0,2,2,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,,,,,,,,,,,,,,,,,,,,
au,carpenter penrith,2,carpenter roseville,(non-clustered),2,2,140,11,3.37,0.56,392000,Commercial,"Local Pack, Video, Image, People Also Ask, Related Searches","0.52,0.80,0.33,0.33,0.33,0.80,1.00,0.80,0.42,0.52,0.52,0.52",75,,,,,,,,,,,,,,,,,,,,
au,carpenter blacktown,2,carpenter roseville,(non-clustered),2,2,70,6,2.64,0.52,0,Commercial,"Local Pack, Image, Related Searches","0.35,0.35,0.21,0.28,0.14,0.64,0.78,0.78,0.35,0.78,0.78,0.78",75,,,,,,,,,,,,,,,,,,,,
au,carpenter cherrybrook,2,carpenter roseville,(non-clustered),2,2,30,0,0,0,0,2,2,"0.40,0.60,0.40,0.60,0.60,0.20,0.60,0.80,0.80,1.00,0.80,1.00",0,,,,,,,,,,,,,,,,,,,,
au,carpenter kellyville,2,carpenter roseville,(non-clustered),2,2,30,0,3.76,0.66,0,2,2,"0.14,0.14,0.14,0.14,0.14,0.35,0.50,0.21,0.14,0.21,0.28,0.35",0,,,,,,,,,,,,,,,,,,,,
au,carpenter north sydney,2,carpenter roseville,(non-clustered),2,2,20,0,2.57,0.76,0,2,2,"0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11",0,,,,,,,,,,,,,,,,,,,,
au,carpenter pennant hills,2,carpenter roseville,(non-clustered),2,2,10,0,0,0,0,2,2,"0.50,1.00,0.50,0.75,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,,,,,,,,,,,,,,,,,,,,
au,carpenter west pennant hills,2,carpenter roseville,(non-clustered),2,2,0,0,0,0,0,2,2,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,,,,,,,,,,,,,,,,,,,,
au,deck repair near me,2,carpenter for hire sydney,(non-clustered),2,2,390,17,3.26,0.14,183000000,Transactional,"Local Pack, Video, People Also Ask, Related Searches","0.67,0.67,0.36,0.19,0.15,0.36,0.36,1.00,0.54,0.44,0.54,0.67",90,,,,,,,,,,,,,,,,,,,,
au,pergola repair near me,2,carpenter for hire sydney,(non-clustered),2,2,140,5,3.29,0.82,0,Transactional,"Related Searches, Local Pack","0.53,0.42,0.53,0.42,0.42,0.42,0.53,0.53,0.53,0.65,0.42,0.53",90,,,,,,,,,,,,,,,,,,,,
au,best carpenter near me,2,carpenter for hire sydney,(non-clustered),2,2,20,0,2.2,0.66,0,2,2,"0.07,0.14,0.14,0.14,0.14,1.00,0.07,0.00,0.07,0.07,0.07,0.07",0,,,,,,,,,,,,,,,,,,,,
au,pergola cost sydney,2,carpenter for hire sydney,(non-clustered),2,2,20,0,1.94,0.99,0,2,2,"0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18",0,,,,,,,,,,,,,,,,,,,,
au,structural carpenter near me,2,carpenter for hire sydney,(non-clustered),2,2,20,0,2.03,0.99,0,2,2,"0.66,0.66,0.00,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66",0,,,,,,,,,,,,,,,,,,,,
au,timber framing near me,2,carpenter for hire sydney,(non-clustered),2,2,20,0,0,0.66,0,2,2,"0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22",0,,,,,,,,,,,,,,,,,,,,
au,decking cost sydney,2,carpenter for hire sydney,(non-clustered),2,2,10,0,1.56,0.57,0,2,2,"0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00",0,,,,,,,,,,,,,,,,,,,,
au,framing carpenter near me,2,carpenter for hire sydney,(non-clustered),2,2,10,0,1.83,0.66,0,2,2,"0.50,0.00,0.00,1.00,0.00,1.00,0.50,0.50,0.00,1.00,1.00,0.00",0,,,,,,,,,,,,,,,,,,,,
au,wall removal contractor near me,2,carpenter for hire sydney,(non-clustered),2,2,10,0,0,0.33,0,2,2,"0.00,0.00,0.00,0.66,0.00,1.00,1.00,0.66,0.33,0.33,0.33,0.66",0,,,,,,,,,,,,,,,,,,,,
au,house restumping near me,2,restumping sydney,(non-clustered),2,2,390,15,2.08,0.55,141,Transactional,"Local Pack, Video, Related Searches","0.43,1.00,0.81,0.66,0.66,0.66,0.81,0.81,1.00,1.00,0.81,0.81",90,,,,,,,,,,,,,,,,,,,,
